time_step,entropy,complexity
0,0.03749546,0.00796813
1,0.09347354,0.00796813
2,0.09347354,0.01593625
3,0.16283411,0.01593625
4,0.11797102,0.02390438
5,0.22296097,0.02390438
6,0.14099292,0.03187251
7,0.27701480,0.02390438
8,0.18368939,0.03187251
9,0.27701480,0.03984064
10,0.25956152,0.04780876
11,0.31044746,0.04780876
12,0.27701480,0.05577689
13,0.38683354,0.05577689
14,0.29396449,0.06374502
15,0.42857478,0.05577689
16,0.32649527,0.05577689
17,0.38683354,0.06374502
18,0.40105515,0.07968127
19,0.45494751,0.07171315
20,0.41496436,0.07171315
21,0.44189874,0.08764940
22,0.44189874,0.11155378
23,0.50458493,0.09561753
24,0.48025989,0.08764940
25,0.49254170,0.09561753
26,0.48025989,0.11952191
27,0.56146710,0.12749004
28,0.52798505,0.11155378
29,0.57221943,0.11952191
30,0.53935542,0.13545817
31,0.62313789,0.11155378
32,0.48025989,0.11952191
33,0.62313789,0.13545817
34,0.51639706,0.15936255
35,0.68717196,0.14342629
36,0.55051421,0.14342629
37,0.66968383,0.14342629
38,0.61331887,0.16733068
39,0.67850571,0.16733068
40,0.69568520,0.13545817
41,0.64225594,0.15139442
42,0.67850571,0.16733068
43,0.71226267,0.15936255
44,0.61331887,0.18326693
45,0.75856382,0.17529880
46,0.65156192,0.18326693
47,0.72825698,0.17529880
48,0.66968383,0.18326693
49,0.74368541,0.16733068
50,0.66070353,0.21513944
51,0.78672786,0.23904382
52,0.73604091,0.20717131
53,0.79344657,0.21513944
54,0.71226267,0.23107570
55,0.82517922,0.23107570
56,0.77290681,0.22310757
57,0.79344657,0.22310757
58,0.76580138,0.26294821
59,0.84840884,0.24701195
60,0.80003940,0.23904382
61,0.85392636,0.24701195
62,0.78672786,0.28685259
63,0.89404532,0.25498008
64,0.81907637,0.22310757
65,0.76580138,0.23107570
66,0.82517922,0.26294821
67,0.84840884,0.26294821
68,0.84840884,0.26294821
69,0.83702811,0.27888446
70,0.88941315,0.30278884
71,0.89404532,0.24701195
72,0.86979956,0.22310757
73,0.84277645,0.29482072
74,0.91561686,0.30278884
75,0.89404532,0.31872510
76,0.89404532,0.34262948
77,0.93100725,0.33466135
78,0.90298966,0.35059761
79,0.92731274,0.33466135
80,0.93460064,0.27888446
81,0.89857058,0.31075697
82,0.90730328,0.35059761
83,0.95406622,0.37450199
84,0.90730328,0.37450199
85,0.97233175,0.33466135
86,0.89404532,0.36653386
87,0.93460064,0.32669323
88,0.94477938,0.28685259
89,0.92731274,0.31872510
90,0.92731274,0.40637450
91,0.99283201,0.35856574
92,0.89857058,0.34262948
93,0.97233175,0.35059761
94,0.94148620,0.38247012
95,0.98592821,0.38247012
96,0.95406622,0.37450199
97,0.96247314,0.37450199
98,0.96759420,0.46215139
99,0.98896862,0.45418327
100,0.97668837,0.43027888
101,0.97872457,0.45418327
102,0.97668837,0.45418327
103,0.99806412,0.37450199
104,0.95696575,0.35856574
105,0.94477938,0.38247012
106,0.97455752,0.43027888
107,0.98896862,0.42231076
108,0.99034920,0.43027888
109,0.99393456,0.43824701
110,0.99034920,0.47011952
111,0.99907237,0.45418327
112,0.99494474,0.40637450
113,0.98749502,0.44621514
114,0.99861413,0.48605578
115,0.99742226,0.45418327
116,0.99283201,0.43824701
117,0.99907237,0.47011952
118,0.99971374,0.52589641
119,0.99998855,0.50996016
120,0.99943889,0.47808765
121,0.99742226,0.48605578
122,0.99971374,0.56573705
123,0.99393456,0.50996016
124,0.99943889,0.50199203
125,0.99998855,0.50996016
